num_clients,fraction_fit,seed,round,accuracy,loss
5,0.2,0,0,0.1,2.30540451302696
5,0.2,0,1,0.3077,2.176229903492303
5,0.2,0,2,0.6967,0.812810978950403
5,0.2,0,3,0.7711,0.5976450192852142
5,0.2,0,4,0.7867,0.5508863674566007
5,0.2,0,5,0.8031,0.5128452483171853
5,0.2,0,6,0.8116,0.48513821448190525
5,0.2,0,7,0.8317,0.45893028166633065
5,0.2,0,8,0.8373,0.4419977152452301
5,0.2,0,9,0.8393,0.4336369706276126
5,0.2,0,10,0.8418,0.42573054134845734
5,0.2,1,0,0.1012,2.3021752468694134
5,0.2,1,1,0.1877,2.265445522606944
5,0.2,1,2,0.6869,0.9211654802099966
5,0.2,1,3,0.7718,0.5854849002231806
5,0.2,1,4,0.7947,0.5327613321832194
5,0.2,1,5,0.8155,0.4916337175538745
5,0.2,1,6,0.8277,0.4656225336007417
5,0.2,1,7,0.8335,0.44429206505370217
5,0.2,1,8,0.8363,0.43134161475272226
5,0.2,1,9,0.845,0.41952400866407935
5,0.2,1,10,0.8458,0.4109816076323247
5,0.2,2,0,0.096,2.3059521665969216
5,0.2,2,1,0.1911,2.186770267760792
5,0.2,2,2,0.7242,0.8067620284260272
5,0.2,2,3,0.7671,0.5853225445975891
5,0.2,2,4,0.7819,0.5508350861815218
5,0.2,2,5,0.8036,0.5056654205813575
5,0.2,2,6,0.8227,0.476348947697935
5,0.2,2,7,0.8271,0.46025698048809466
5,0.2,2,8,0.8332,0.44560744339665664
5,0.2,2,9,0.839,0.43401800324551215
5,0.2,2,10,0.8412,0.4243429000861348
5,0.2,3,0,0.1,2.3027795907407524
5,0.2,3,1,0.2133,2.198647360451305
5,0.2,3,2,0.6565,0.8438258662391395
5,0.2,3,3,0.767,0.5845804581055626
5,0.2,3,4,0.7848,0.5459510490726739
5,0.2,3,5,0.792,0.5205496571981869
5,0.2,3,6,0.8033,0.4999670983312991
5,0.2,3,7,0.8144,0.47909746921290985
5,0.2,3,8,0.8266,0.4645331833309259
5,0.2,3,9,0.8335,0.4495129363891035
5,0.2,3,10,0.8405,0.4359074764834425
5,0.2,4,0,0.1,2.3043228239297107
5,0.2,4,1,0.1277,2.260006828429981
5,0.2,4,2,0.6851,0.8449533562690686
5,0.2,4,3,0.744,0.6511206237462382
5,0.2,4,4,0.7603,0.598702461479571
5,0.2,4,5,0.7796,0.5586091624662137
5,0.2,4,6,0.8007,0.5321072549960865
5,0.2,4,7,0.8107,0.5052406307036122
5,0.2,4,8,0.8197,0.48779005816759774
5,0.2,4,9,0.8216,0.47664312618418625
5,0.2,4,10,0.8312,0.46286834704990204
5,0.5,0,0,0.1,2.303843713035218
5,0.5,0,1,0.2544,2.2200859240449655
5,0.5,0,2,0.7038,0.828101928813008
5,0.5,0,3,0.7623,0.6005387967958237
5,0.5,0,4,0.7802,0.5509778199294886
5,0.5,0,5,0.7989,0.5133993341899908
5,0.5,0,6,0.8189,0.481370052876183
5,0.5,0,7,0.8263,0.4611815679282807
5,0.5,0,8,0.8296,0.45022932685221345
5,0.5,0,9,0.8426,0.43598906957684236
5,0.5,0,10,0.8426,0.42927654992086817
5,0.5,1,0,0.0701,2.3057043925641825
5,0.5,1,1,0.1335,2.2671789018490824
5,0.5,1,2,0.6819,0.8673836735490793
