num_clients,seed,round,accuracy,loss
2,0,0,0.0999,2.308972473723439
2,0,1,0.4404,1.911207160248924
2,0,2,0.7422,0.6988697061523462
2,0,3,0.7699,0.5804095335376148
2,0,4,0.7804,0.5455830652302447
2,0,5,0.7917,0.5254077605260447
2,0,6,0.8045,0.5046103735701345
2,0,7,0.8109,0.48787764519357835
2,0,8,0.8149,0.47781829902539236
2,0,9,0.8254,0.4669525051554933
2,0,10,0.8288,0.45387829630710064
2,1,0,0.1041,2.3040207102656747
2,1,1,0.59,1.9299016227356542
2,1,2,0.7394,0.6797941233784246
2,1,3,0.7768,0.5617334144279218
2,1,4,0.799,0.5207686005308986
2,1,5,0.8193,0.4849525975723998
2,1,6,0.828,0.46077178870907987
2,1,7,0.8356,0.4429726188127606
2,1,8,0.8378,0.4330614466255846
2,1,9,0.8399,0.419216873832404
2,1,10,0.8471,0.4154646255956671
2,2,0,0.1037,2.30108008140954
2,2,1,0.5903,1.8449986990267477
2,2,2,0.733,0.6894900141813504
2,2,3,0.7862,0.5434192595676112
2,2,4,0.808,0.5092306932130941
2,2,5,0.8222,0.4785641078560497
2,2,6,0.8328,0.4531001176792212
2,2,7,0.8351,0.4419436216259155
2,2,8,0.8417,0.42336361241131165
2,2,9,0.8467,0.41557839003424296
2,2,10,0.8523,0.40088721636099556
2,3,0,0.0994,2.3048235136099136
2,3,1,0.4404,1.957769710034989
2,3,2,0.7375,0.6848803526296402
2,3,3,0.7795,0.5462328518351046
2,3,4,0.8019,0.50069201559114
2,3,5,0.829,0.4641492517706685
2,3,6,0.8393,0.44081693787734727
2,3,7,0.8423,0.42350150113955093
2,3,8,0.8482,0.4116689308335225
2,3,9,0.8548,0.3998139365650594
2,3,10,0.8577,0.3937094307269532
2,4,0,0.1,2.305763351269804
2,4,1,0.3759,1.9911273824521147
2,4,2,0.7463,0.6790434899992837
2,4,3,0.7801,0.5605102434706765
2,4,4,0.8017,0.5192550596432944
2,4,5,0.8187,0.4885445947464282
2,4,6,0.8262,0.4683958518143279
2,4,7,0.8323,0.4522444534892091
2,4,8,0.8386,0.43248324555615647
2,4,9,0.844,0.4188343106081691
2,4,10,0.847,0.4107355181925213
5,0,0,0.1003,2.3076722362932687
5,0,1,0.5404,1.8779174485526526
5,0,2,0.7416,0.6851691146628164
5,0,3,0.788,0.5603517998045626
5,0,4,0.8135,0.5051541643592116
5,0,5,0.8236,0.4743563600431997
5,0,6,0.8341,0.451642706466559
5,0,7,0.841,0.4299318295555374
5,0,8,0.8481,0.412613784709868
5,0,9,0.8534,0.4055300141199709
5,0,10,0.8577,0.3969330585802706
5,1,0,0.0824,2.30448109654192
5,1,1,0.28,2.142183319067422
5,1,2,0.7269,0.6975785838529325
5,1,3,0.7741,0.5696098693072225
5,1,4,0.7862,0.5328794459279734
5,1,5,0.806,0.5001860238587894
5,1,6,0.82,0.47741995223414024
5,1,7,0.8296,0.45533027378514934
5,1,8,0.8427,0.4329565568044544
5,1,9,0.8477,0.42091235597007953
5,1,10,0.8509,0.408424638640195
5,2,0,0.1,2.3045474233718726
5,2,1,0.3213,2.0775496148453736
5,2,2,0.7312,0.6978611005380893
5,2,3,0.7764,0.5752944683495421
5,2,4,0.792,0.533350026169524
5,2,5,0.8047,0.5043137397724219
5,2,6,0.8201,0.47861197343268713
5,2,7,0.829,0.46266561622817676
5,2,8,0.8394,0.44212351910793746
5,2,9,0.8446,0.4234152608595717
5,2,10,0.8506,0.41160557231011863
5,3,0,0.0879,2.305020050499767
5,3,1,0.5093,1.7497057328208947
5,3,2,0.7362,0.6809894445414741
5,3,3,0.7693,0.568742850813241
5,3,4,0.7909,0.5318384838942141
5,3,5,0.806,0.5012063553062872
5,3,6,0.8224,0.47442195466912973
5,3,7,0.8278,0.4546207900340565
5,3,8,0.8371,0.43262961192633775
5,3,9,0.8422,0.4263980213445596
5,3,10,0.8481,0.4156055083385291
5,4,0,0.0999,2.3065518845384494
5,4,1,0.6354,1.80247285647895
5,4,2,0.761,0.6382684580053384
5,4,3,0.7914,0.529605395258806
5,4,4,0.8085,0.5016158170783862
5,4,5,0.8174,0.4770625017035883
5,4,6,0.8304,0.456585827250831
5,4,7,0.8376,0.4422179370547255
5,4,8,0.844,0.42601248517204016
5,4,9,0.8464,0.41674751190903087
5,4,10,0.8528,0.40491106063603594
10,0,0,0.1002,2.3028176188849794
10,0,1,0.4854,1.5953775411977555
10,0,2,0.7402,0.6617446473231331
10,0,3,0.785,0.5409269807532954
10,0,4,0.8131,0.49259749473855136
10,0,5,0.8322,0.45746407888758295
10,0,6,0.8426,0.43410978133019545
10,0,7,0.8505,0.414391519114994
10,0,8,0.8534,0.4031270620303032
10,0,9,0.8598,0.39004031054604166
10,0,10,0.8611,0.3853726661719453
10,1,0,0.0857,2.3028915324531045
10,1,1,0.5454,1.8525737101277604
10,1,2,0.7338,0.7221201181221313
10,1,3,0.7723,0.5698614874586891
10,1,4,0.7798,0.5400485762487204
10,1,5,0.7969,0.5107921583298296
10,1,6,0.8138,0.48785524151195736
10,1,7,0.8189,0.47550716701026163
10,1,8,0.8242,0.46104771113052917
10,1,9,0.8295,0.4521848678398437
10,1,10,0.8305,0.4455761159189974
10,2,0,0.1,2.3047580102000373
10,2,1,0.3767,2.0669520807723267
10,2,2,0.7351,0.6919904722573277
10,2,3,0.7718,0.5759595116487326
10,2,4,0.7858,0.5335631472424577
10,2,5,0.808,0.5024600765956476
10,2,6,0.8221,0.4716227724910163
10,2,7,0.8291,0.4557821026530129
10,2,8,0.8362,0.4398530424593356
10,2,9,0.8393,0.42733428867670675
10,2,10,0.8445,0.4146451629198397
10,3,0,0.1005,2.3030101163699603
10,3,1,0.4041,2.0225264584294522
10,3,2,0.7358,0.6803938467472125
10,3,3,0.7744,0.5717265977265354
10,3,4,0.7895,0.5310645232471033
10,3,5,0.8047,0.5047483728906978
10,3,6,0.8192,0.4739367180167677
10,3,7,0.8281,0.4633251575711436
10,3,8,0.8353,0.44492978852587384
10,3,9,0.8403,0.4301022377353126
10,3,10,0.8488,0.41502861100168653
10,4,0,0.1,2.304895613521052
10,4,1,0.4196,2.077077816469601
10,4,2,0.7397,0.6948964163518181
10,4,3,0.7729,0.5683612221726975
10,4,4,0.7892,0.5358652257309935
10,4,5,0.8037,0.5047089306595988
10,4,6,0.8141,0.48715784683966407
10,4,7,0.8233,0.46755199519970925
10,4,8,0.8345,0.45207613435225746
10,4,9,0.8412,0.4373576092167784
10,4,10,0.8461,0.42464141797619503
20,0,0,0.1294,2.303121202669966
20,0,1,0.4438,1.9296901808760036
20,0,2,0.7307,0.7362733145300954
20,0,3,0.7693,0.5849170601977327
20,0,4,0.7942,0.5305014056519578
20,0,5,0.8216,0.48355355992103916
20,0,6,0.8345,0.4549566917716505
20,0,7,0.8399,0.437537974728563
20,0,8,0.8467,0.4245507707134984
20,0,9,0.8499,0.4135743944218364
20,0,10,0.8538,0.4032521505658619
20,1,0,0.0903,2.304377736374974
20,1,1,0.5233,1.834969102003323
20,1,2,0.7389,0.6950119708102351
20,1,3,0.7753,0.5612482925573476
20,1,4,0.7968,0.516788859003649
20,1,5,0.8177,0.4779872008786796
20,1,6,0.8291,0.45503014473678965
20,1,7,0.8365,0.4352641118029817
20,1,8,0.8403,0.4228524152701274
20,1,9,0.8433,0.4113604903173523
20,1,10,0.8508,0.4015823026625112
20,2,0,0.1,2.305315429791094
20,2,1,0.3727,2.011805791062669
20,2,2,0.754,0.6758658091861981
20,2,3,0.7913,0.5240467370222932
20,2,4,0.8216,0.47828158402976134
20,2,5,0.8328,0.4488280506465382
20,2,6,0.843,0.42619046188010196
20,2,7,0.8482,0.4117911651064032
20,2,8,0.8529,0.3977677616686486
20,2,9,0.8563,0.3956258046312835
20,2,10,0.8562,0.3920691625093119
20,3,0,0.1691,2.3047932908176993
20,3,1,0.2535,2.0645930127213936
20,3,2,0.731,0.7222262201979518
20,3,3,0.7722,0.5703332723139193
20,3,4,0.7906,0.5243582242308333
20,3,5,0.8037,0.49672492581624955
20,3,6,0.824,0.4758640291115727
20,3,7,0.83,0.4552738833160827
20,3,8,0.8344,0.4408517402296249
20,3,9,0.8409,0.4251223751388419
20,3,10,0.8452,0.41485637795334807
20,4,0,0.1128,2.3030492185403744
20,4,1,0.3695,2.0304176167558174
20,4,2,0.7442,0.692095054985997
20,4,3,0.7727,0.5640298825102492
20,4,4,0.7921,0.5277440484149006
20,4,5,0.8027,0.49900164105259953
20,4,6,0.8124,0.4801773637914048
20,4,7,0.823,0.46157274383325547
20,4,8,0.8264,0.44892493337868883
20,4,9,0.8356,0.4351822671513207
20,4,10,0.8421,0.4230385936392001
