timestamp,num_clients,seed,num_rounds,status,final_accuracy,final_loss,error
2025-10-29T14:41:38.889184,2,0,10,ok,0.8288,0.45387829630710064,
2025-10-29T14:43:37.952270,2,1,10,ok,0.8471,0.4154646255956671,
2025-10-29T14:45:34.886723,2,2,10,ok,0.8523,0.40088721636099556,
2025-10-29T14:47:34.259861,2,3,10,ok,0.8577,0.3937094307269532,
2025-10-29T14:49:40.429011,2,4,10,ok,0.847,0.4107355181925213,
2025-10-29T14:51:46.027551,5,0,10,ok,0.8577,0.3969330585802706,
2025-10-29T14:53:51.423112,5,1,10,ok,0.8509,0.408424638640195,
2025-10-29T14:55:57.080571,5,2,10,ok,0.8506,0.41160557231011863,
2025-10-29T14:58:05.010119,5,3,10,ok,0.8481,0.4156055083385291,
2025-10-29T15:00:11.177130,5,4,10,ok,0.8528,0.40491106063603594,
2025-10-29T15:02:13.102722,10,0,10,ok,0.8611,0.3853726661719453,
2025-10-29T15:04:12.092209,10,1,10,ok,0.8305,0.4455761159189974,
2025-10-29T15:06:09.967502,10,2,10,ok,0.8445,0.4146451629198397,
2025-10-29T15:08:07.869709,10,3,10,ok,0.8488,0.41502861100168653,
2025-10-29T15:10:12.568286,10,4,10,ok,0.8461,0.42464141797619503,
2025-10-29T15:12:19.926149,20,0,10,ok,0.8538,0.4032521505658619,
2025-10-29T15:14:26.309868,20,1,10,ok,0.8508,0.4015823026625112,
2025-10-29T15:16:53.352368,20,2,10,ok,0.8562,0.3920691625093119,
2025-10-29T15:18:51.015422,20,3,10,ok,0.8452,0.41485637795334807,
2025-10-29T15:20:47.554163,20,4,10,ok,0.8421,0.4230385936392001,
